name,position
Alexander Gauland,MdB aus Sachsen und Ehrenvorsitzender
Andreas Bleck,"MdB aus Rheinland-Pfalz, umweltpolitischer Sprecher der Bundestagsfraktion und Ex-Mitglied im Landesvorstand Rheinland-Pfalz"
Andreas Jurca,MdL in Bayern und Ex-Mitglied im Landesvorstand
Günter Geng,ehemalige Kreisratsmitglied im Kreistag Ortenau in Baden-Württemberg
Karl Schwarz,Mitglied im Freiburger Stadtrat und Kreissprecher im KV Freiburg in Baden-Württemberg
Karsten Woldeit,MdA Berlin
Kay Gottschalk,"MdB aus Nordrhein-Westfalen, stv. Bundessprecher und finanzpolitischer Sprecher der Bundestagsfraktion, stv. Landessprecher und stv. Vorsitzender des Landesverbands Nordrhein-Westfalen"
Krzysztof Walczak,"MdHB, stv. Landesvorsitzender und parlamentarischer Geschäftsführer der Fraktion in der Bürgerschaft Hamburg"
Jan Wenzel Schmidt,fraktionsloser MdB aus Sachsen-Anhalt
Jörg Nobis,Ehemaliger MdL in Schleswig-Holstein
Manfred Schiller,"MdB aus Bayern, Ex-Mitglied im Landesvorstand Bayern und Sprecher des Arbeitskreises Petitionen der Bundestagsfraktion"
Markus Meixner,"ehemaliger stv. Kreisvorsitzender Koblenz in Rheinland-Pfalz"
Rainer Balzer,"Mitglied im Kreistag Karlsruhe, ehemaliger MdL in Baden-Württemberg"
Rainer Rothfuß,"ehemaliger stv. Landesvorsitzender und Sprecher der Bundestagsfraktion für Menschenrechte aus Bayern"
Markus Walbrunn,"MdL in Bayern und Mitglied im ehemaliger Landesvorstand Bayern"
Martin Böhm,"MdL in Bayern, ehemaliger stv. Landesvorsitzender, stv. Fraktionsvorsitzender Bayern und europapolitischer Sprecher der Landtagsfraktion"
